"parent_requirement_id","counted_in_formal_req_total","exact_constitution_part","exact_constitution_section","section_source_span","atomic_child_count","owner_approval_state","implementation_status"
"REQ-001","No — structural container only","Part 1","AI MASTER INSTRUCTION","L9–L68","27","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-002","No — structural container only","Part 1","YOUR PRIMARY OBJECTIVE","L69–L126","17","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-003","No — structural container only","Part 1","IMPORTANT WORKFLOW","L127–L132","1","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-004","No — structural container only","Part 1","Phase 1","L133–L148","6","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-005","No — structural container only","Part 1","Phase 2","L149–L192","19","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-006","No — structural container only","Part 1","Phase 3","L193–L206","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-007","No — structural container only","Part 1","Phase 4","L207–L236","12","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-008","No — structural container only","Part 1","Phase 5","L237–L248","4","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-009","No — structural container only","Part 1","Phase 6","L249–L288","17","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-010","No — structural container only","Part 1","Phase 7","L289–L304","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-011","No — structural container only","Part 1","BUSINESS SUMMARY","L305–L336","11","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-012","No — structural container only","Part 1","TARGET COUNTRIES","L337–L372","18","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-013","No — structural container only","Part 1","PLATFORM LANGUAGE","L373–L400","12","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-014","No — structural container only","Part 1","CURRENCY SYSTEM","L401–L430","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-015","No — structural container only","Part 1","USER REGISTRATION","L431–L456","8","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-016","No — structural container only","Part 1","USER ACCOUNT STATUS","L457–L478","11","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-017","No — structural container only","Part 2","PRODUCT PHILOSOPHY","L481–L496","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-018","No — structural container only","Part 2","PRODUCT DESIGN PRINCIPLES","L497–L530","15","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-019","No — structural container only","Part 2","HOMEPAGE","L531–L566","15","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-020","No — structural container only","Part 2","USER DASHBOARD","L567–L610","19","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-021","No — structural container only","Part 2","WALLET SYSTEM","L611–L664","24","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-022","No — structural container only","Part 2","BALANCE MATURITY SYSTEM","L665–L716","10","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-023","No — structural container only","Part 2","LEADERBOARD SYSTEM","L717–L750","8","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-024","No — structural container only","Part 2","SURVEY EXPERIENCE","L751–L784","12","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-025","No — structural container only","Part 2","REWARD POINT SYSTEM","L785–L810","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-026","No — structural container only","Part 2","WITHDRAWAL SYSTEM","L811–L842","13","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-027","No — structural container only","Part 2","NOTIFICATION CENTER","L843–L878","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-028","No — structural container only","Part 2","SUPPORT CENTER","L879–L906","11","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-029","No — structural container only","Part 2","BLOG SYSTEM","L907–L960","15","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-030","No — structural container only","Part 2","SEO REQUIREMENTS","L961–L994","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-031","No — structural container only","Part 2","PERFORMANCE TARGETS","L995–L1054","9","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-032","No — structural container only","Part 3","SUPER ADMIN ERP","L1059–L1070","3","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-033","No — structural container only","Part 3","ADMIN DASHBOARD","L1071–L1132","28","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-034","No — structural container only","Part 3","USER MANAGEMENT","L1133–L1180","21","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-035","No — structural container only","Part 3","ACCOUNT MODERATION","L1181–L1200","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-036","No — structural container only","Part 3","LIMIT TEMPLATE SYSTEM","L1201–L1258","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-037","No — structural container only","Part 3","ROLE MANAGEMENT","L1259–L1284","3","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-038","No — structural container only","Part 3","SYSTEM SETTINGS","L1285–L1318","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-039","No — structural container only","Part 3","CONTENT MANAGEMENT SYSTEM (CMS)","L1319–L1350","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-040","No — structural container only","Part 3","PROVIDER INTEGRATION FRAMEWORK","L1351–L1366","10","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-041","No — structural container only","Part 3","API MANAGEMENT","L1367–L1386","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-042","No — structural container only","Part 3","EMAIL SYSTEM","L1387–L1406","10","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-043","No — structural container only","Part 3","AUDIT LOGGING","L1407–L1446","9","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-044","No — structural container only","Part 3","SECURITY","L1447–L1488","19","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-045","No — structural container only","Part 3","DATABASE ARCHITECTURE","L1489–L1514","13","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-046","No — structural container only","Part 3","BACKEND ARCHITECTURE","L1515–L1540","12","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-047","No — structural container only","Part 3","FRONTEND ARCHITECTURE","L1541–L1560","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-048","No — structural container only","Part 3","PROJECT DOCUMENTATION","L1561–L1594","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-049","No — structural container only","Part 3","INTERACTIVE DEVELOPMENT ROADMAP","L1595–L1616","9","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-050","No — structural container only","Part 3","QUALITY STANDARD","L1617–L1640","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-051","No — structural container only","Part 4","CORE PHILOSOPHY","L1645–L1672","11","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-052","No — structural container only","Part 4","ENGINEERING PRINCIPLES","L1673–L1700","11","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-053","No — structural container only","Part 4","PROJECT STRUCTURE","L1701–L1744","3","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-054","No — structural container only","Part 4","DEVELOPMENT STANDARDS","L1745–L1766","8","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-055","No — structural container only","Part 4","USER EXPERIENCE STANDARDS","L1767–L1786","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-056","No — structural container only","Part 4","PERFORMANCE GOALS","L1787–L1806","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-057","No — structural container only","Part 4","ACCESSIBILITY","L1807–L1826","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-058","No — structural container only","Part 4","CONFIGURATION PHILOSOPHY","L1827–L1854","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-059","No — structural container only","Part 4","ANALYTICS","L1855–L1886","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-060","No — structural container only","Part 4","ERROR HANDLING","L1887–L1904","6","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-061","No — structural container only","Part 4","BACKGROUND PROCESSING","L1905–L1926","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-062","No — structural container only","Part 4","RELEASE MANAGEMENT","L1927–L1954","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-063","No — structural container only","Part 4","BACKUP & RECOVERY","L1955–L1974","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-064","No — structural container only","Part 4","CONTINUOUS IMPROVEMENT","L1975–L1994","6","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-065","No — structural container only","Part 4","FINAL DIRECTIVE TO THE AI","L1995–L2032","6","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-066","No — structural container only","Part 5","DATABASE PHILOSOPHY","L2037–L2052","12","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-067","No — structural container only","Part 5","DATABASE OBJECTIVES","L2053–L2078","10","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-068","No — structural container only","Part 5","DATABASE DESIGN PRINCIPLES","L2079–L2096","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-069","No — structural container only","Part 5","DATABASE DOCUMENTATION","L2097–L2122","11","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-070","No — structural container only","Part 5","CORE BUSINESS DOMAINS","L2123–L2146","1","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-071","No — structural container only","Part 5","User Profiles","L2147–L2166","1","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
